YEAR,COUNTRY_NAME,OBS_VALUE_AUD,IMPORT_VALUE_BILLION_AUD
2015,China,674301000,0.674301
2015,Japan,1844095000,1.844095
2015,South Korea,111166000,0.111166
2016,China,478737000,0.478737
2016,Japan,193578000,0.193578
2016,South Korea,79981000,0.079981
2017,China,588354000,0.588354
2017,Japan,234914000,0.234914
2017,South Korea,115579000,0.115579
2018,China,778790000,0.77879
2018,Japan,273330000,0.27333
2018,South Korea,140712000,0.140712
2019,China,740839000,0.740839
2019,Japan,220179000,0.220179
2019,South Korea,85280000,0.08528
2020,China,694644000,0.694644
2020,Japan,256419000,0.256419
2020,South Korea,84316000,0.084316
2021,China,885186000,0.885186
2021,Japan,110281000,0.110281
2021,South Korea,114834000,0.114834
2022,China,1177430000,1.17743
2022,Japan,176072000,0.176072
2022,South Korea,199914000,0.199914
2023,China,1030420000,1.03042
2023,Japan,232483000,0.232483
2023,South Korea,177680000,0.17768
2024,China,1139801000,1.139801
2024,Japan,192915000,0.192915
2024,South Korea,197627000,0.197627
2025,China,1159568000,1.159568
2025,Japan,216004000,0.216004
2025,South Korea,232131000,0.232131
2026,China,641252000,0.641252
2026,Japan,95547000,0.095547
2026,South Korea,94260000,0.09426
