YEAR,China,Japan,South Korea
2015,,,
2016,-29.002478121788343,-89.50281845566525,-28.052641994854543
2017,22.89712305503857,21.353666222401312,44.508070666783375
2018,32.36758822069705,16.353218624688193,21.745299751685
2019,-4.8730723301531835,-19.445724947865216,-39.393939393939405
2020,-6.235497861208705,16.459335358957937,-1.1303939962476472
2021,27.430165667593755,-56.991876577008725,36.19479102424214
2022,33.0149821619411,59.65760194412455,74.08955535816919
2023,-12.48566793779673,32.038597846335584,-11.121782366417566
2024,10.615186040643643,-17.019739077696006,11.226361999099499
2025,1.7342501015527922,11.968483529015362,17.459152848548023
2026,-44.699060339712716,-55.766096924131034,-59.39361825865568
