YEAR,COUNTRY_NAME,OBS_VALUE_AUD_COUNTRY,IMPORT_VALUE_BILLION_AUD,OBS_VALUE_AUD_MARKET,MARKET_SHARE_%,YOY_GROWTH_%
2015,China,674301000,0.674301,5039409000,13.380557124853333,
2016,China,478737000,0.478737,2533806000,18.893987937513764,-29.002478121788343
2017,China,588354000,0.588354,3058142000,19.238936583062525,22.89712305503857
2018,China,778790000,0.77879,3900867000,19.964536089028414,32.36758822069705
2019,China,740839000,0.740839,3270335000,22.653306159766508,-4.8730723301531835
2020,China,694644000,0.694644,3134767000,22.159350280260064,-6.235497861208705
2021,China,885186000,0.885186,4049700000,21.858063560263723,27.430165667593755
2022,China,1177430000,1.17743,5215394000,22.576050821855453,33.0149821619411
2023,China,1030420000,1.03042,4745636000,21.713001165702554,-12.48566793779673
2024,China,1139801000,1.139801,5951293000,19.152157354712664,10.615186040643643
2025,China,1159568000,1.159568,5361091000,21.62932880639407,1.7342501015527922
2026,China,641252000,0.641252,2779327000,23.072204170290146,-44.699060339712716
2015,India,62563000,0.062563,5039409000,1.2414749427958716,
2016,India,41942000,0.041942,2533806000,1.6552964196943254,-32.96037594105141
2017,India,56631000,0.056631,3058142000,1.8518106745860723,35.022173477659635
2018,India,89444000,0.089444,3900867000,2.292926162312122,57.9417633451643
2019,India,96330000,0.09633,3270335000,2.9455697963664274,7.698671794642453
2020,India,106558000,0.106558,3134767000,3.3992319046359745,10.617668431433614
2021,India,183397000,0.183397,4049700000,4.528656443687186,72.11002458754857
2022,India,168776000,0.168776,5215394000,3.2361121710075977,-7.972322338969551
2023,India,223588000,0.223588,4745636000,4.71144436699317,32.47618144759918
2024,India,183933000,0.183933,5951293000,3.0906392946877257,-17.735746104442097
2025,India,349796000,0.349796,5361091000,6.52471670411862,90.17577052513685
2026,India,147018000,0.147018,2779327000,5.289697829726405,-57.97035986689385
2015,Indonesia,37118000,0.037118,5039409000,0.736554623766398,
2016,Indonesia,24294000,0.024294,2533806000,0.9587947932872525,-34.54927528422868
2017,Indonesia,12417000,0.012417,3058142000,0.40603085141239353,-48.888614472709314
2018,Indonesia,26913000,0.026913,3900867000,0.6899235477651507,116.74317467987439
2019,Indonesia,19188000,0.019188,3270335000,0.586728882515094,-28.703600490469285
