YEAR,China,India,Indonesia,Japan,Malaysia,South Korea,Taiwan
2015,0.674301,0.062563,0.037118,1.844095,0.065397,0.111166,0.24576
2016,0.478737,0.041942,0.024294,0.193578,0.053831,0.079981,0.195302
2017,0.588354,0.056631,0.012417,0.234914,0.082789,0.115579,0.249245
2018,0.77879,0.089444,0.026913,0.27333,0.189525,0.140712,0.261807
2019,0.740839,0.09633,0.019188,0.220179,0.107448,0.08528,0.18467
2020,0.694644,0.106558,0.027128,0.256419,0.079813,0.084316,0.188985
2021,0.885186,0.183397,0.065787,0.110281,0.052545,0.114834,0.253691
2022,1.17743,0.168776,0.051467,0.176072,0.064965,0.199914,0.271861
2023,1.03042,0.223588,0.203715,0.232483,0.115005,0.17768,0.21049
2024,1.139801,0.183933,0.996626,0.192915,0.112134,0.197627,0.210214
2025,1.159568,0.349796,0.022399,0.216004,0.256732,0.232131,0.192861
2026,0.641252,0.147018,0.013129,0.095547,0.030985,0.09426,0.101739
