YEAR,China,India,Indonesia,Japan,Malaysia,South Korea,Taiwan
2015,13.380557124853333,1.2414749427958716,0.736554623766398,36.5934775288134,1.2977116959548234,2.2059332751122205,4.876762334630906
2016,18.893987937513764,1.6552964196943254,0.9587947932872525,7.639811414133521,2.124511505616452,3.1565557899855006,7.707851350892689
2017,19.238936583062525,1.8518106745860723,0.40603085141239353,7.681592287081503,2.7071666390900093,3.7793863071106575,8.150210160286866
2018,19.964536089028414,2.292926162312122,0.6899235477651507,7.00690384983646,4.858535294845992,3.6071980921164446,6.711507980149029
2019,22.653306159766508,2.9455697963664274,0.586728882515094,6.732613019767088,3.285534968130176,2.6076839222893065,5.646822114554014
2020,22.159350280260064,3.3992319046359745,0.8653912715043893,8.179842393390004,2.546058447087136,2.689705486883076,6.028677729477183
2021,21.858063560263723,4.528656443687186,1.6244907030150382,2.7231893720522504,1.2975035187791688,2.8356174531446774,6.264439341185766
2022,22.576050821855453,3.2361121710075977,0.9868286077715317,3.3760057245914687,1.2456393515044117,3.8331523946225348,5.212664661576863
2023,21.713001165702554,4.71144436699317,4.292680686002888,4.898879728660184,2.423384347219214,3.7440713952776825,4.435443426339483
2024,19.152157354712664,3.0906392946877257,16.746377635918783,3.2415644801894308,1.8841955857323778,3.320740551675073,3.532240808846078
2025,21.62932880639407,6.52471670411862,0.41780674866365825,4.029105269804225,4.78880138389742,4.3299209060245385,3.59742074887369
2026,23.072204170290146,5.289697829726405,0.47238054392304324,3.4377746843030703,1.1148382324210142,3.391468510182501,3.660562431120915
