YEAR,IMPORT_VALUE_BILLION_AUD,MARKET_SHARE_%,YOY_GROWTH_%
2015,0.111166,2.2059332751122205,
2016,0.079981,3.156555789985501,-28.052641994854543
2017,0.115579,3.7793863071106575,44.508070666783375
2018,0.140712,3.6071980921164446,21.745299751685
2019,0.08528,2.6076839222893065,-39.393939393939405
2020,0.084316,2.689705486883076,-1.1303939962476472
2021,0.114834,2.8356174531446774,36.19479102424214
2022,0.199914,3.833152394622535,74.08955535816919
2023,0.17768,3.7440713952776825,-11.121782366417566
2024,0.197627,3.320740551675073,11.2263619990995
2025,0.232131,4.3299209060245385,17.459152848548023
2026,0.09426,3.391468510182501,-59.39361825865568
