COUNTRY_ORIGIN,OBS_VALUE_AUD
NCD,14236274000
CHIN,9989322000
JAP,4045817000
TAIW,2566625000
INIA,1709976000
RKOR,1633480000
INDO,1500181000
FGMY,1346691000
USA,1285898000
MLAY,1211169000
SWED,1090622000
VIET,932369000
ITAL,782856000
SING,755498000
CAN,432637000
NZ,428836000
UK,412054000
FINL,410916000
THAI,377593000
SAFR,363641000
UAEM,350183000
OMAN,327835000
ASTA,296150000
TURK,244411000
FRAN,241965000
BELG,230462000
SPAI,223070000
BRAZ,184731000
MEXI,163799000
RUSS,161968000
KAZA,125854000
NETH,116635000
DENM,104969000
PAKI,104551000
CZEH,100009000
NWAY,83563000
POLA,66585000
SWIT,58737000
LUX,41585000
AUST,39212000
ARGE,33179000
BHRN,31474000
ROUM,29488000
UKRA,25623000
GREE,21895000
HONG,20049000
CHLE,13473000
ESTO,11879000
PORT,11087000
ALBA,7656000
SLOV,6897000
SAUD,4440000
PNG,3080000
AGUA,2769000
SVAK,2757000
COMB,2710000
QATA,2690000
IRE,2654000
IWAS,2599000
LITH,2593000
URUG,2557000
ISRA,2486000
PHIL,2425000
HGRY,2151000
CROA,1452000
EGYP,1164000
MLTA,1049000
SRIL,933000
BVIR,884000
SEYC,636000
LATV,572000
BRUN,569000
BULG,432000
GERG,378000
MALI,339000
BELE,308000
SAMO,281000
TRIN,233000
NIGE,230000
TUNI,226000
FWIN,224000
SLEO,221000
NICA,185000
MAUS,181000
NAUR,131000
LEBA,131000
NCAL,129000
ANGA,112000
PERU,99000
MARS,98000
DMCA,83000
CMBD,77000
SALV,70000
FRGU,68000
FIJI,64000
ZMBA,59000
MLDV,59000
KUWA,58000
PSIA,57000
BURM,56000
STCN,54000
BELA,53000
SENE,46000
SSUD,44000
SERB,40000
NAMI,36000
ANGO,29000
VIRG,28000
FCAM,25000
VANU,25000
BOHR,24000
MORO,20000
ETMR,14000
RICO,13000
PNMA,12000
GHAN,12000
GUIN,10000
LIBE,9000
COST,6000
ICEL,6000
BADE,6000
KYRG,5000
MASY,5000
NGRA,5000
ZAIR,4000
ANTI,4000
PLYN,4000
JORD,4000
CUBA,4000
COBR,4000
GIBR,3000
CEAR,3000
ECUA,3000
MACA,3000
ANTC,2000
CHRI,2000
TURS,2000
MNGL,2000
IVOR,1000
KENY,1000
CYPR,1000
SRNM,1000
SUDN,1000
UGAN,1000
VENZ,1000
UZBK,1000
