COUNTRY_ORIGIN,OBS_VALUE_AUD,COUNTRY_NAME,IMPORT_VALUE_BILLION_AUD
NCD,14236274000,No Country Details,14.236274
CHIN,9989322000,China,9.989322
JAP,4045817000,Japan,4.045817
TAIW,2566625000,Taiwan,2.566625
INIA,1709976000,India,1.709976
RKOR,1633480000,South Korea,1.63348
INDO,1500181000,Indonesia,1.500181
FGMY,1346691000,Germany,1.346691
USA,1285898000,United States,1.285898
MLAY,1211169000,Malaysia,1.211169
SWED,1090622000,Sweden,1.090622
VIET,932369000,Vietnam,0.932369
ITAL,782856000,Italy,0.782856
SING,755498000,Singapore,0.755498
CAN,432637000,Canada,0.432637
NZ,428836000,New Zealand,0.428836
UK,412054000,United Kingdom,0.412054
FINL,410916000,FINL,0.410916
THAI,377593000,Thailand,0.377593
SAFR,363641000,South Africa,0.363641
UAEM,350183000,UAEM,0.350183
OMAN,327835000,OMAN,0.327835
ASTA,296150000,ASTA,0.29615
TURK,244411000,Turkey,0.244411
FRAN,241965000,France,0.241965
BELG,230462000,Belgium,0.230462
SPAI,223070000,Spain,0.22307
BRAZ,184731000,Brazil,0.184731
MEXI,163799000,Mexico,0.163799
RUSS,161968000,Russia,0.161968
KAZA,125854000,KAZA,0.125854
NETH,116635000,Netherlands,0.116635
DENM,104969000,DENM,0.104969
PAKI,104551000,Pakistan,0.104551
CZEH,100009000,Czech Republic,0.100009
NWAY,83563000,NWAY,0.083563
POLA,66585000,Poland,0.066585
SWIT,58737000,Switzerland,0.058737
LUX,41585000,LUX,0.041585
AUST,39212000,AUST,0.039212
ARGE,33179000,ARGE,0.033179
BHRN,31474000,BHRN,0.031474
ROUM,29488000,ROUM,0.029488
UKRA,25623000,UKRA,0.025623
GREE,21895000,GREE,0.021895
HONG,20049000,Hong Kong,0.020049
CHLE,13473000,CHLE,0.013473
ESTO,11879000,ESTO,0.011879
PORT,11087000,PORT,0.011087
ALBA,7656000,ALBA,0.007656
SLOV,6897000,SLOV,0.006897
SAUD,4440000,Saudi Arabia,0.00444
PNG,3080000,PNG,0.00308
AGUA,2769000,AGUA,0.002769
SVAK,2757000,SVAK,0.002757
COMB,2710000,COMB,0.00271
QATA,2690000,QATA,0.00269
IRE,2654000,IRE,0.002654
IWAS,2599000,IWAS,0.002599
LITH,2593000,LITH,0.002593
URUG,2557000,URUG,0.002557
ISRA,2486000,ISRA,0.002486
PHIL,2425000,Philippines,0.002425
HGRY,2151000,HGRY,0.002151
CROA,1452000,CROA,0.001452
EGYP,1164000,EGYP,0.001164
MLTA,1049000,MLTA,0.001049
SRIL,933000,SRIL,0.000933
BVIR,884000,BVIR,0.000884
SEYC,636000,SEYC,0.000636
LATV,572000,LATV,0.000572
BRUN,569000,BRUN,0.000569
BULG,432000,BULG,0.000432
GERG,378000,GERG,0.000378
MALI,339000,MALI,0.000339
BELE,308000,BELE,0.000308
SAMO,281000,SAMO,0.000281
TRIN,233000,TRIN,0.000233
NIGE,230000,NIGE,0.00023
TUNI,226000,TUNI,0.000226
FWIN,224000,FWIN,0.000224
SLEO,221000,SLEO,0.000221
NICA,185000,NICA,0.000185
MAUS,181000,MAUS,0.000181
NAUR,131000,NAUR,0.000131
LEBA,131000,LEBA,0.000131
NCAL,129000,NCAL,0.000129
ANGA,112000,ANGA,0.000112
PERU,99000,PERU,9.9e-05
MARS,98000,MARS,9.8e-05
DMCA,83000,DMCA,8.3e-05
CMBD,77000,CMBD,7.7e-05
SALV,70000,SALV,7e-05
FRGU,68000,FRGU,6.8e-05
FIJI,64000,FIJI,6.4e-05
ZMBA,59000,ZMBA,5.9e-05
MLDV,59000,MLDV,5.9e-05
KUWA,58000,KUWA,5.8e-05
PSIA,57000,PSIA,5.7e-05
BURM,56000,BURM,5.6e-05
STCN,54000,STCN,5.4e-05
BELA,53000,BELA,5.3e-05
SENE,46000,SENE,4.6e-05
SSUD,44000,SSUD,4.4e-05
SERB,40000,SERB,4e-05
NAMI,36000,NAMI,3.6e-05
ANGO,29000,ANGO,2.9e-05
VIRG,28000,VIRG,2.8e-05
FCAM,25000,FCAM,2.5e-05
VANU,25000,VANU,2.5e-05
BOHR,24000,BOHR,2.4e-05
MORO,20000,MORO,2e-05
ETMR,14000,ETMR,1.4e-05
RICO,13000,RICO,1.3e-05
PNMA,12000,PNMA,1.2e-05
GHAN,12000,GHAN,1.2e-05
GUIN,10000,GUIN,1e-05
LIBE,9000,LIBE,9e-06
COST,6000,COST,6e-06
ICEL,6000,ICEL,6e-06
BADE,6000,BADE,6e-06
KYRG,5000,KYRG,5e-06
MASY,5000,MASY,5e-06
NGRA,5000,NGRA,5e-06
ZAIR,4000,ZAIR,4e-06
ANTI,4000,ANTI,4e-06
PLYN,4000,PLYN,4e-06
JORD,4000,JORD,4e-06
CUBA,4000,CUBA,4e-06
COBR,4000,COBR,4e-06
GIBR,3000,GIBR,3e-06
CEAR,3000,CEAR,3e-06
ECUA,3000,ECUA,3e-06
MACA,3000,MACA,3e-06
ANTC,2000,ANTC,2e-06
CHRI,2000,CHRI,2e-06
TURS,2000,TURS,2e-06
MNGL,2000,MNGL,2e-06
IVOR,1000,IVOR,1e-06
KENY,1000,KENY,1e-06
CYPR,1000,CYPR,1e-06
SRNM,1000,SRNM,1e-06
SUDN,1000,SUDN,1e-06
UGAN,1000,UGAN,1e-06
VENZ,1000,VENZ,1e-06
UZBK,1000,UZBK,1e-06
