TIME_PERIOD,OBS_VALUE_AUD
2015-01-01,427580000
2015-02-01,368597000
2015-03-01,386449000
2015-04-01,496080000
2015-05-01,558596000
2015-06-01,523573000
2015-07-01,427703000
2015-08-01,423212000
2015-09-01,519884000
2015-10-01,442533000
2015-11-01,258864000
2015-12-01,206338000
2016-01-01,253249000
2016-02-01,252394000
2016-03-01,208460000
2016-04-01,181615000
2016-05-01,180470000
2016-06-01,195738000
2016-07-01,191448000
2016-08-01,218931000
2016-09-01,205270000
2016-10-01,210163000
2016-11-01,226994000
2016-12-01,209074000
2017-01-01,251762000
2017-02-01,202978000
2017-03-01,241715000
2017-04-01,212163000
2017-05-01,281707000
2017-06-01,267677000
2017-07-01,252127000
2017-08-01,268766000
2017-09-01,262805000
2017-10-01,257080000
2017-11-01,286155000
2017-12-01,273207000
2018-01-01,317911000
2018-02-01,333267000
2018-03-01,337346000
2018-04-01,337142000
2018-05-01,386649000
2018-06-01,345936000
2018-07-01,332964000
2018-08-01,287827000
2018-09-01,292184000
2018-10-01,305661000
2018-11-01,372727000
2018-12-01,251253000
2019-01-01,355903000
2019-02-01,298438000
2019-03-01,255946000
2019-04-01,249043000
2019-05-01,293833000
2019-06-01,267900000
2019-07-01,251030000
2019-08-01,268892000
2019-09-01,252802000
2019-10-01,294905000
2019-11-01,282051000
2019-12-01,199592000
2020-01-01,343201000
2020-02-01,241394000
2020-03-01,244302000
2020-04-01,244346000
2020-05-01,280363000
2020-06-01,257717000
2020-07-01,287612000
2020-08-01,259156000
2020-09-01,259699000
2020-10-01,233686000
2020-11-01,247933000
2020-12-01,235358000
2021-01-01,224911000
2021-02-01,231668000
2021-03-01,309917000
2021-04-01,263972000
2021-05-01,274943000
2021-06-01,265208000
2021-07-01,277021000
2021-08-01,343272000
2021-09-01,407078000
2021-10-01,399160000
2021-11-01,528857000
2021-12-01,523693000
2022-01-01,476867000
2022-02-01,460788000
2022-03-01,480723000
2022-04-01,402974000
2022-05-01,434344000
2022-06-01,456935000
2022-07-01,418455000
2022-08-01,468372000
2022-09-01,429145000
2022-10-01,463407000
2022-11-01,424890000
2022-12-01,298494000
2023-01-01,340137000
2023-02-01,315215000
2023-03-01,369111000
2023-04-01,325166000
2023-05-01,444599000
2023-06-01,377737000
2023-07-01,407213000
2023-08-01,389619000
2023-09-01,433196000
2023-10-01,443367000
2023-11-01,508772000
2023-12-01,391504000
2024-01-01,438853000
2024-02-01,566557000
2024-03-01,534167000
2024-04-01,491435000
2024-05-01,617583000
2024-06-01,474916000
2024-07-01,536947000
2024-08-01,498264000
2024-09-01,475865000
2024-10-01,481165000
2024-11-01,382018000
2024-12-01,453523000
2025-01-01,579723000
2025-02-01,446501000
2025-03-01,442160000
2025-04-01,476596000
2025-05-01,501671000
2025-06-01,420845000
2025-07-01,442055000
2025-08-01,386830000
2025-09-01,437439000
2025-10-01,438952000
2025-11-01,382671000
2025-12-01,405648000
2026-01-01,430388000
2026-02-01,377501000
2026-03-01,370524000
2026-04-01,371900000
2026-05-01,331544000
2026-06-01,412586000
2026-07-01,484884000
