TIME_PERIOD,OBS_VALUE_AUD,IMPORT_VALUE_BILLION_AUD
2015-01-01,855156000,0.855156
2015-02-01,737197000,0.737197
2015-03-01,772900000,0.7729
2015-04-01,992158000,0.992158
2015-05-01,1117193000,1.117193
2015-06-01,1047152000,1.047152
2015-07-01,855406000,0.855406
2015-08-01,846427000,0.846427
2015-09-01,1039770000,1.03977
2015-10-01,885064000,0.885064
2015-11-01,517730000,0.51773
2015-12-01,412677000,0.412677
2016-01-01,506497000,0.506497
2016-02-01,504788000,0.504788
2016-03-01,416922000,0.416922
2016-04-01,363233000,0.363233
2016-05-01,360942000,0.360942
2016-06-01,391475000,0.391475
2016-07-01,382898000,0.382898
2016-08-01,437863000,0.437863
2016-09-01,410541000,0.410541
2016-10-01,420328000,0.420328
2016-11-01,453990000,0.45399
2016-12-01,418149000,0.418149
2017-01-01,503523000,0.503523
2017-02-01,405960000,0.40596
2017-03-01,483430000,0.48343
2017-04-01,424329000,0.424329
2017-05-01,563408000,0.563408
2017-06-01,535353000,0.535353
2017-07-01,504252000,0.504252
2017-08-01,537532000,0.537532
2017-09-01,525609000,0.525609
2017-10-01,514163000,0.514163
2017-11-01,572313000,0.572313
2017-12-01,546412000,0.546412
2018-01-01,635823000,0.635823
2018-02-01,666533000,0.666533
2018-03-01,674690000,0.67469
2018-04-01,674287000,0.674287
2018-05-01,773300000,0.7733
2018-06-01,691867000,0.691867
2018-07-01,665931000,0.665931
2018-08-01,575658000,0.575658
2018-09-01,584366000,0.584366
2018-10-01,611321000,0.611321
2018-11-01,745456000,0.745456
2018-12-01,502509000,0.502509
2019-01-01,711808000,0.711808
2019-02-01,596878000,0.596878
2019-03-01,511892000,0.511892
2019-04-01,498088000,0.498088
2019-05-01,587670000,0.58767
2019-06-01,535799000,0.535799
2019-07-01,502056000,0.502056
2019-08-01,537784000,0.537784
2019-09-01,505601000,0.505601
2019-10-01,589808000,0.589808
2019-11-01,564103000,0.564103
2019-12-01,399184000,0.399184
2020-01-01,686397000,0.686397
2020-02-01,482787000,0.482787
2020-03-01,488603000,0.488603
2020-04-01,488690000,0.48869
2020-05-01,560726000,0.560726
2020-06-01,515437000,0.515437
2020-07-01,575223000,0.575223
2020-08-01,518315000,0.518315
2020-09-01,519398000,0.519398
2020-10-01,467375000,0.467375
2020-11-01,495864000,0.495864
2020-12-01,470715000,0.470715
2021-01-01,449820000,0.44982
2021-02-01,463336000,0.463336
2021-03-01,619829000,0.619829
2021-04-01,527943000,0.527943
2021-05-01,549886000,0.549886
2021-06-01,530413000,0.530413
2021-07-01,554041000,0.554041
2021-08-01,686541000,0.686541
2021-09-01,814157000,0.814157
2021-10-01,798322000,0.798322
2021-11-01,1057713000,1.057713
2021-12-01,1047389000,1.047389
2022-01-01,953731000,0.953731
2022-02-01,921574000,0.921574
2022-03-01,961450000,0.96145
2022-04-01,805948000,0.805948
2022-05-01,868688000,0.868688
2022-06-01,913871000,0.913871
2022-07-01,836910000,0.83691
2022-08-01,936745000,0.936745
2022-09-01,858293000,0.858293
2022-10-01,926814000,0.926814
2022-11-01,849783000,0.849783
2022-12-01,596991000,0.596991
2023-01-01,680276000,0.680276
2023-02-01,630430000,0.63043
2023-03-01,738223000,0.738223
2023-04-01,650332000,0.650332
2023-05-01,889194000,0.889194
2023-06-01,755471000,0.755471
2023-07-01,814429000,0.814429
2023-08-01,779241000,0.779241
2023-09-01,866390000,0.86639
2023-10-01,886737000,0.886737
2023-11-01,1017545000,1.017545
2023-12-01,783010000,0.78301
2024-01-01,877705000,0.877705
2024-02-01,1133117000,1.133117
2024-03-01,1068330000,1.06833
2024-04-01,982871000,0.982871
2024-05-01,1235174000,1.235174
2024-06-01,949834000,0.949834
2024-07-01,1073896000,1.073896
2024-08-01,996531000,0.996531
2024-09-01,951727000,0.951727
2024-10-01,962332000,0.962332
2024-11-01,764031000,0.764031
2024-12-01,907050000,0.90705
2025-01-01,1159442000,1.159442
2025-02-01,893004000,0.893004
2025-03-01,884320000,0.88432
2025-04-01,953191000,0.953191
2025-05-01,1003344000,1.003344
2025-06-01,841687000,0.841687
2025-07-01,884109000,0.884109
2025-08-01,773661000,0.773661
2025-09-01,874878000,0.874878
2025-10-01,877905000,0.877905
2025-11-01,765342000,0.765342
2025-12-01,811295000,0.811295
2026-01-01,860774000,0.860774
2026-02-01,755006000,0.755006
2026-03-01,741047000,0.741047
2026-04-01,743799000,0.743799
2026-05-01,663086000,0.663086
2026-06-01,825173000,0.825173
2026-07-01,969764000,0.969764
