DATAFLOW,COMMODITY_SITC,COUNTRY_ORIGIN,STATE_DEST,FREQ,TIME_PERIOD,OBS_VALUE,UNIT_MEASURE,UNIT_MULT,OBS_STATUS,OBS_COMMENT,OBS_VALUE_AUD
ABS:MERCH_IMP(1.0.0),67,HGRY,TOT,M,2015-01-01,4,AUD,3,,,4000
ABS:MERCH_IMP(1.0.0),67,HGRY,TOT,M,2015-02-01,1,AUD,3,,,1000
ABS:MERCH_IMP(1.0.0),67,HGRY,TOT,M,2015-03-01,15,AUD,3,,,15000
ABS:MERCH_IMP(1.0.0),67,HGRY,TOT,M,2015-05-01,11,AUD,3,,,11000
ABS:MERCH_IMP(1.0.0),67,HGRY,TOT,M,2015-06-01,6,AUD,3,,,6000
ABS:MERCH_IMP(1.0.0),67,HGRY,TOT,M,2015-07-01,4,AUD,3,,,4000
ABS:MERCH_IMP(1.0.0),67,HGRY,TOT,M,2015-08-01,12,AUD,3,,,12000
ABS:MERCH_IMP(1.0.0),67,HGRY,TOT,M,2015-09-01,16,AUD,3,,,16000
ABS:MERCH_IMP(1.0.0),67,HGRY,TOT,M,2015-10-01,2,AUD,3,,,2000
ABS:MERCH_IMP(1.0.0),67,HGRY,TOT,M,2016-02-01,6,AUD,3,,,6000
ABS:MERCH_IMP(1.0.0),67,HGRY,TOT,M,2016-04-01,2,AUD,3,,,2000
ABS:MERCH_IMP(1.0.0),67,HGRY,TOT,M,2016-07-01,3,AUD,3,,,3000
ABS:MERCH_IMP(1.0.0),67,HGRY,TOT,M,2016-08-01,11,AUD,3,,,11000
ABS:MERCH_IMP(1.0.0),67,HGRY,TOT,M,2016-10-01,2,AUD,3,,,2000
ABS:MERCH_IMP(1.0.0),67,HGRY,TOT,M,2016-11-01,2,AUD,3,,,2000
ABS:MERCH_IMP(1.0.0),67,HGRY,TOT,M,2016-12-01,4,AUD,3,,,4000
ABS:MERCH_IMP(1.0.0),67,HGRY,TOT,M,2017-02-01,1,AUD,3,,,1000
ABS:MERCH_IMP(1.0.0),67,HGRY,TOT,M,2017-03-01,1,AUD,3,,,1000
ABS:MERCH_IMP(1.0.0),67,HGRY,TOT,M,2017-04-01,1,AUD,3,,,1000
ABS:MERCH_IMP(1.0.0),67,HGRY,TOT,M,2017-05-01,13,AUD,3,,,13000
ABS:MERCH_IMP(1.0.0),67,HGRY,TOT,M,2017-07-01,17,AUD,3,,,17000
ABS:MERCH_IMP(1.0.0),67,HGRY,TOT,M,2017-08-01,9,AUD,3,,,9000
ABS:MERCH_IMP(1.0.0),67,HGRY,TOT,M,2017-10-01,2,AUD,3,,,2000
ABS:MERCH_IMP(1.0.0),67,HGRY,TOT,M,2017-11-01,2,AUD,3,,,2000
ABS:MERCH_IMP(1.0.0),67,HGRY,TOT,M,2017-12-01,13,AUD,3,,,13000
ABS:MERCH_IMP(1.0.0),67,HGRY,TOT,M,2018-01-01,6,AUD,3,,,6000
ABS:MERCH_IMP(1.0.0),67,HGRY,TOT,M,2018-02-01,3,AUD,3,,,3000
ABS:MERCH_IMP(1.0.0),67,HGRY,TOT,M,2018-03-01,13,AUD,3,,,13000
ABS:MERCH_IMP(1.0.0),67,HGRY,TOT,M,2018-04-01,1,AUD,3,,,1000
ABS:MERCH_IMP(1.0.0),67,HGRY,TOT,M,2018-05-01,6,AUD,3,,,6000
ABS:MERCH_IMP(1.0.0),67,HGRY,TOT,M,2018-06-01,6,AUD,3,,,6000
ABS:MERCH_IMP(1.0.0),67,HGRY,TOT,M,2018-07-01,16,AUD,3,,,16000
ABS:MERCH_IMP(1.0.0),67,HGRY,TOT,M,2018-08-01,7,AUD,3,,,7000
ABS:MERCH_IMP(1.0.0),67,HGRY,TOT,M,2018-09-01,4,AUD,3,,,4000
ABS:MERCH_IMP(1.0.0),67,HGRY,TOT,M,2018-10-01,8,AUD,3,,,8000
ABS:MERCH_IMP(1.0.0),67,HGRY,TOT,M,2018-11-01,1,AUD,3,,,1000
ABS:MERCH_IMP(1.0.0),67,HGRY,TOT,M,2018-12-01,5,AUD,3,,,5000
ABS:MERCH_IMP(1.0.0),67,HGRY,TOT,M,2019-01-01,10,AUD,3,,,10000
ABS:MERCH_IMP(1.0.0),67,HGRY,TOT,M,2019-02-01,10,AUD,3,,,10000
ABS:MERCH_IMP(1.0.0),67,HGRY,TOT,M,2019-03-01,64,AUD,3,,,64000
ABS:MERCH_IMP(1.0.0),67,HGRY,TOT,M,2019-04-01,23,AUD,3,,,23000
ABS:MERCH_IMP(1.0.0),67,HGRY,TOT,M,2019-05-01,3,AUD,3,,,3000
ABS:MERCH_IMP(1.0.0),67,HGRY,TOT,M,2019-06-01,11,AUD,3,,,11000
ABS:MERCH_IMP(1.0.0),67,HGRY,TOT,M,2019-07-01,2,AUD,3,,,2000
ABS:MERCH_IMP(1.0.0),67,HGRY,TOT,M,2019-08-01,39,AUD,3,,,39000
ABS:MERCH_IMP(1.0.0),67,HGRY,TOT,M,2019-09-01,178,AUD,3,,,178000
ABS:MERCH_IMP(1.0.0),67,HGRY,TOT,M,2019-10-01,7,AUD,3,,,7000
ABS:MERCH_IMP(1.0.0),67,HGRY,TOT,M,2019-11-01,5,AUD,3,,,5000
ABS:MERCH_IMP(1.0.0),67,HGRY,TOT,M,2019-12-01,16,AUD,3,,,16000
ABS:MERCH_IMP(1.0.0),67,HGRY,TOT,M,2020-01-01,3,AUD,3,,,3000
ABS:MERCH_IMP(1.0.0),67,HGRY,TOT,M,2020-03-01,6,AUD,3,,,6000
ABS:MERCH_IMP(1.0.0),67,HGRY,TOT,M,2020-04-01,15,AUD,3,,,15000
ABS:MERCH_IMP(1.0.0),67,HGRY,TOT,M,2020-06-01,8,AUD,3,,,8000
ABS:MERCH_IMP(1.0.0),67,HGRY,TOT,M,2020-08-01,2,AUD,3,,,2000
ABS:MERCH_IMP(1.0.0),67,HGRY,TOT,M,2020-09-01,75,AUD,3,,,75000
ABS:MERCH_IMP(1.0.0),67,HGRY,TOT,M,2020-10-01,7,AUD,3,,,7000
ABS:MERCH_IMP(1.0.0),67,HGRY,TOT,M,2020-11-01,12,AUD,3,,,12000
ABS:MERCH_IMP(1.0.0),67,HGRY,TOT,M,2020-12-01,12,AUD,3,,,12000
ABS:MERCH_IMP(1.0.0),67,HGRY,TOT,M,2021-02-01,12,AUD,3,,,12000
