YEAR,COUNTRY_NAME,OBS_VALUE_AUD_COUNTRY,OBS_VALUE_AUD_TOTAL,MARKET_SHARE_%,IMPORT_VALUE_BILLION_AUD
2024,ARGE,1181000,5951293000,0.01984442708500489,0.001181
2024,ASTA,25232000,5951293000,0.4239750924715016,0.025232
2024,AUST,3406000,5951293000,0.0572312605008693,0.003406
2024,BHRN,40000,5951293000,0.0006721228479256525,4e-05
2024,BRUN,4000,5951293000,6.721228479256526e-05,4e-06
2024,BULG,39000,5951293000,0.0006553197767275111,3.9e-05
2024,BVIR,1000,5951293000,1.6803071198141314e-05,1e-06
2024,Belgium,21584000,5951293000,0.36267748874068206,0.021584
2024,Brazil,53025000,5951293000,0.8909828502814431,0.053025
2024,CHLE,41000,5951293000,0.0006889259191237937,4.1e-05
2024,CMBD,11000,5951293000,0.0001848337831795544,1.1e-05
2024,CROA,428000,5951293000,0.007191714472804481,0.000428
2024,Canada,40279000,5951293000,0.6768109047899339,0.040279
2024,China,1139801000,5951293000,19.152157354712664,1.139801
2024,Czech Republic,11033000,5951293000,0.1853882845290931,0.011033
2024,DENM,3657000,5951293000,0.06144883137160277,0.003657
2024,EGYP,118000,5951293000,0.0019827624013806747,0.000118
2024,ESTO,436000,5951293000,0.007326139042389612,0.000436
2024,FCAM,8000,5951293000,0.0001344245695851305,8e-06
2024,FINL,34921000,5951293000,0.5867800493102928,0.034921
2024,France,21360000,5951293000,0.3589136007922984,0.02136
2024,GHAN,9000,5951293000,0.0001512276407832718,9e-06
2024,GREE,75000,5951293000,0.0012602303398605982,7.5e-05
2024,Germany,170937000,5951293000,2.8722665813966812,0.170937
2024,HGRY,262000,5951293000,0.004402404653913023,0.000262
2024,Hong Kong,2167000,5951293000,0.03641225528637222,0.002167
2024,IRE,363000,5951293000,0.006099514844925296,0.000363
2024,ISRA,79000,5951293000,0.0013274426246531637,7.9e-05
2024,India,183933000,5951293000,3.0906392946877257,0.183933
2024,Indonesia,996626000,5951293000,16.746377635918783,0.996626
2024,Italy,79832000,5951293000,1.3414227798900173,0.079832
2024,Japan,192915000,5951293000,3.2415644801894308,0.192915
2024,KAZA,42632000,5951293000,0.7163485313191603,0.042632
2024,KUWA,6000,5951293000,0.00010081842718884786,6e-06
2024,KYRG,2000,5951293000,3.360614239628263e-05,2e-06
2024,LATV,499000,5951293000,0.008384732527872515,0.000499
2024,LITH,1310000,5951293000,0.02201202326956512,0.00131
2024,LUX,3038000,5951293000,0.05104773029995331,0.003038
2024,MAUS,121000,5951293000,0.002033171614975099,0.000121
2024,Malaysia,112134000,5951293000,1.8841955857323778,0.112134
2024,Mexico,17478000,5951293000,0.2936840784011139,0.017478
2024,NAMI,8000,5951293000,0.0001344245695851305,8e-06
2024,NAUR,9000,5951293000,0.0001512276407832718,9e-06
2024,NICA,15000,5951293000,0.0002520460679721197,1.5e-05
2024,NIGE,42000,5951293000,0.0007057289903219351,4.2e-05
2024,NWAY,5905000,5951293000,0.09922213542502445,0.005905
2024,Netherlands,6392000,5951293000,0.10740523109851927,0.006392
2024,New Zealand,25926000,5951293000,0.4356364238830116,0.025926
2024,No Country Details,1608436000,5951293000,27.026664625653616,1.608436
2024,OMAN,62059000,5951293000,1.0427817954854517,0.062059
2024,PNG,417000,5951293000,0.0070068806896249275,0.000417
2024,PNMA,10000,5951293000,0.00016803071198141312,1e-05
2024,PORT,105000,5951293000,0.0017643224758048378,0.000105
2024,Pakistan,7072000,5951293000,0.11883131951325536,0.007072
2024,Philippines,566000,5951293000,0.009510538298147983,0.000566
2024,Poland,18054000,5951293000,0.30336264741124325,0.018054
2024,QATA,133000,5951293000,0.0022348084693527945,0.000133
2024,RICO,3000,5951293000,5.040921359442393e-05,3e-06
2024,ROUM,6529000,5951293000,0.10970725185266463,0.006529
2024,SALV,25000,5951293000,0.00042007677995353277,2.5e-05
2024,SERB,3000,5951293000,5.040921359442393e-05,3e-06
2024,SEYC,115000,5951293000,0.0019323531877862507,0.000115
2024,SLOV,200000,5951293000,0.003360614239628262,0.0002
2024,SVAK,142000,5951293000,0.0023860361101360663,0.000142
2024,Singapore,39488000,5951293000,0.6635196754722041,0.039488
2024,South Africa,27838000,5951293000,0.46776389601385787,0.027838
2024,South Korea,197627000,5951293000,3.320740551675073,0.197627
2024,Spain,22892000,5951293000,0.38465590586785087,0.022892
2024,Sweden,97261000,5951293000,1.6342835078024223,0.097261
2024,Switzerland,4882000,5951293000,0.08203259358932588,0.004882
2024,TURS,2000,5951293000,3.360614239628263e-05,2e-06
2024,Taiwan,210214000,5951293000,3.532240808846078,0.210214
2024,Thailand,62030000,5951293000,1.0422945064207056,0.06203
2024,Turkey,45694000,5951293000,0.767799535327869,0.045694
2024,UAEM,40703000,5951293000,0.6839354069779457,0.040703
2024,UKRA,1245000,5951293000,0.020919823641685934,0.001245
2024,URUG,1000,5951293000,1.6803071198141314e-05,1e-06
2024,United Kingdom,35263000,5951293000,0.592526699660057,0.035263
2024,United States,114015000,5951293000,1.9158021626560817,0.114015
2024,Vietnam,148949000,5951293000,2.5028006518919503,0.148949
2025,AGUA,2080000,5361091000,0.038798073004170236,0.00208
2025,ALBA,186000,5361091000,0.0034694430667190686,0.000186
2025,ARGE,3505000,5361091000,0.06537848359596955,0.003505
2025,ASTA,39704000,5361091000,0.7405955243065264,0.039704
2025,AUST,6436000,5361091000,0.12005019127636521,0.006436
2025,BOHR,12000,5361091000,0.0002238350365625206,1.2e-05
2025,BULG,133000,5361091000,0.0024808383219012695,0.000133
2025,Belgium,13656000,5361091000,0.25472427160814837,0.013656
2025,Brazil,4086000,5361091000,0.07621582994953825,0.004086
2025,CHLE,19000,5361091000,0.00035440547455732423,1.9e-05
2025,CMBD,45000,5361091000,0.0008393813871094522,4.5e-05
2025,COMB,11000,5361091000,0.0002051821168489772,1.1e-05
2025,CROA,389000,5361091000,0.007255985768568375,0.000389
2025,Canada,35055000,5361091000,0.6538781005582632,0.035055
2025,China,1159568000,5361091000,21.62932880639407,1.159568
2025,Czech Republic,11753000,5361091000,0.21922776539327538,0.011753
2025,DENM,70068000,5361091000,1.3069727784885576,0.070068
2025,ESTO,390000,5361091000,0.007274638688281918,0.00039
2025,ETMR,14000,5361091000,0.00026114087598960733,1.4e-05
2025,FCAM,6000,5361091000,0.0001119175182812603,6e-06
2025,FIJI,7000,5361091000,0.00013057043799480367,7e-06
2025,FINL,26184000,5361091000,0.4884080497794199,0.026184
2025,France,19225000,5361091000,0.3586023814928715,0.019225
2025,GERG,6000,5361091000,0.0001119175182812603,6e-06
2025,GREE,82000,5361091000,0.0015295394165105573,8.2e-05
2025,Germany,121749000,5361091000,2.270974322204193,0.121749
2025,HGRY,323000,5361091000,0.006024893067474513,0.000323
2025,Hong Kong,9873000,5361091000,0.1841602763318138,0.009873
2025,IRE,144000,5361091000,0.002686020438750247,0.000144
2025,ISRA,260000,5361091000,0.0048497591255212795,0.00026
2025,India,349796000,5361091000,6.52471670411862,0.349796
2025,Indonesia,22399000,5361091000,0.41780674866365825,0.022399
2025,Italy,80704000,5361091000,1.505365232561805,0.080704
2025,JORD,4000,5361091000,7.461167885417353e-05,4e-06
2025,Japan,216004000,5361091000,4.029105269804225,0.216004
2025,KAZA,4302000,5361091000,0.08024486060766363,0.004302
2025,KUWA,29000,5361091000,0.000540934671692758,2.9e-05
2025,LATV,34000,5361091000,0.000634199270260475,3.4e-05
2025,LEBA,2000,5361091000,3.730583942708676e-05,2e-06
2025,LITH,829000,5361091000,0.015463270442527462,0.000829
2025,LUX,9064000,5361091000,0.16907006428355723,0.009064
2025,MALI,36000,5361091000,0.0006715051096875617,3.6e-05
2025,MORO,15000,5361091000,0.00027979379570315074,1.5e-05
2025,Malaysia,256732000,5361091000,4.78880138389742,0.256732
2025,Mexico,17954000,5361091000,0.3348945205369579,0.017954
2025,NAMI,23000,5361091000,0.00042901715341149777,2.3e-05
2025,NCAL,10000,5361091000,0.00018652919713543382,1e-05
2025,NICA,2000,5361091000,3.730583942708676e-05,2e-06
2025,NIGE,104000,5361091000,0.0019399036502085116,0.000104
2025,NWAY,4781000,5361091000,0.08917960915045091,0.004781
2025,Netherlands,7102000,5361091000,0.1324730358055851,0.007102
2025,New Zealand,37376000,5361091000,0.6971715272133974,0.037376
2025,No Country Details,1577680000,5361091000,29.42833837366312,1.57768
2025,OMAN,75715000,5361091000,1.4123058161109372,0.075715
2025,PLYN,3000,5361091000,5.595875914063015e-05,3e-06
2025,PNG,230000,5361091000,0.004290171534114978,0.00023
2025,PORT,224000,5361091000,0.004178254015833717,0.000224
2025,PSIA,23000,5361091000,0.00042901715341149777,2.3e-05
2025,Pakistan,3421000,5361091000,0.06381163834003191,0.003421
2025,Philippines,367000,5361091000,0.006845621534870421,0.000367
2025,Poland,16180000,5361091000,0.3018042409651319,0.01618
2025,QATA,691000,5361091000,0.012889167522058478,0.000691
2025,ROUM,6414000,5361091000,0.11963982704266726,0.006414
2025,SALV,1000,5361091000,1.865291971354338e-05,1e-06
2025,SAMO,99000,5361091000,0.0018466390516407947,9.9e-05
2025,SENE,46000,5361091000,0.0008580343068229955,4.6e-05
2025,SERB,14000,5361091000,0.00026114087598960733,1.4e-05
2025,SLEO,72000,5361091000,0.0013430102193751235,7.2e-05
2025,SLOV,359000,5361091000,0.006696398177162073,0.000359
2025,SRIL,22000,5361091000,0.0004103642336979544,2.2e-05
2025,SVAK,338000,5361091000,0.006304686863177663,0.000338
2025,Saudi Arabia,13000,5361091000,0.00024248795627606395,1.3e-05
2025,Singapore,55581000,5361091000,1.0367479305984548,0.055581
2025,South Africa,28032000,5361091000,0.522878645410048,0.028032
2025,South Korea,232131000,5361091000,4.3299209060245385,0.232131
2025,Spain,13692000,5361091000,0.255395776717836,0.013692
2025,Sweden,107096000,5361091000,1.997653089641642,0.107096
2025,Switzerland,6044000,5361091000,0.11273824674865619,0.006044
2025,Taiwan,192861000,5361091000,3.59742074887369,0.192861
2025,Thailand,56332000,5361091000,1.0507562733033258,0.056332
2025,Turkey,46654000,5361091000,0.8702333163156529,0.046654
2025,UAEM,21362000,5361091000,0.3984636709207137,0.021362
2025,UKRA,1209000,5361091000,0.022551379933673947,0.001209
2025,United Kingdom,32907000,5361091000,0.6138116290135721,0.032907
2025,United States,133912000,5361091000,2.4978497846800214,0.133912
2025,Vietnam,219095000,5361091000,4.086761444638787,0.219095
2026,AGUA,665000,2779327000,0.023926655625624474,0.000665
2026,ALBA,623000,2779327000,0.022415498428216614,0.000623
2026,ARGE,22000,2779327000,0.0007915585319755466,2.2e-05
2026,ASTA,5209000,2779327000,0.18741947241184648,0.005209
2026,AUST,3275000,2779327000,0.1178342814645416,0.003275
2026,BHRN,45000,2779327000,0.001619096997222709,4.5e-05
2026,BOHR,9000,2779327000,0.0003238193994445418,9e-06
2026,BULG,51000,2779327000,0.0018349765968524033,5.1e-05
2026,Belgium,5988000,2779327000,0.21544784043043513,0.005988
2026,Brazil,4397000,2779327000,0.15820376659529448,0.004397
2026,CHLE,46000,2779327000,0.0016550769304943247,4.6e-05
2026,CMBD,17000,2779327000,0.0006116588656174678,1.7e-05
2026,COBR,3000,2779327000,0.00010793979981484727,3e-06
2026,COMB,2687000,2779327000,0.09667808070083153,0.002687
2026,CROA,94000,2779327000,0.003382113727531881,9.4e-05
2026,CUBA,4000,2779327000,0.00014391973308646304,4e-06
2026,Canada,13985000,2779327000,0.5031793668035464,0.013985
2026,China,641252000,2779327000,23.072204170290146,0.641252
2026,Czech Republic,4574000,2779327000,0.16457221478437045,0.004574
2026,DENM,1957000,2779327000,0.07041272941255203,0.001957
2026,ESTO,651000,2779327000,0.023422936559821854,0.000651
2026,FCAM,11000,2779327000,0.0003957792659877733,1.1e-05
2026,FINL,21726000,2779327000,0.7817000302591239,0.021726
2026,France,13152000,2779327000,0.47320808238829043,0.013152
2026,GREE,3000,2779327000,0.00010793979981484727,3e-06
2026,Germany,49761000,2779327000,1.7903974595288716,0.049761
2026,HGRY,451000,2779327000,0.016226949905498705,0.000451
2026,Hong Kong,223000,2779327000,0.008023525119570314,0.000223
2026,IRE,38000,2779327000,0.0013672374643213987,3.8e-05
2026,ISRA,765000,2779327000,0.02752464895278605,0.000765
2026,India,147018000,2779327000,5.289697829726405,0.147018
2026,Indonesia,13129000,2779327000,0.47238054392304324,0.013129
2026,Italy,48453000,2779327000,1.743335706809598,0.048453
2026,Japan,95547000,2779327000,3.4377746843030703,0.095547
2026,KAZA,3375000,2779327000,0.12143227479170318,0.003375
2026,KUWA,15000,2779327000,0.0005396989990742363,1.5e-05
2026,LATV,1000,2779327000,3.597993327161576e-05,1e-06
2026,LITH,21000,2779327000,0.0007555785987039309,2.1e-05
2026,LUX,1026000,2779327000,0.03691541153667777,0.001026
2026,Malaysia,30985000,2779327000,1.1148382324210142,0.030985
2026,Mexico,17674000,2779327000,0.6359093406425369,0.017674
2026,NCAL,12000,2779327000,0.0004317591992593891,1.2e-05
2026,NIGE,7000,2779327000,0.0002518595329013103,7e-06
2026,NWAY,1243000,2779327000,0.04472305705661838,0.001243
2026,Netherlands,8914000,2779327000,0.32072512518318286,0.008914
2026,New Zealand,28204000,2779327000,1.0147780379926508,0.028204
2026,No Country Details,1053719000,2779327000,37.91273930703368,1.053719
2026,OMAN,33483000,2779327000,1.2047161057335103,0.033483
2026,PNG,221000,2779327000,0.007951565253027081,0.000221
2026,PORT,132000,2779327000,0.0047493511918532795,0.000132
2026,Pakistan,353000,2779327000,0.012700916444880361,0.000353
2026,Philippines,16000,2779327000,0.0005756789323458521,1.6e-05
2026,Poland,3404000,2779327000,0.12247569285658003,0.003404
2026,QATA,478000,2779327000,0.01719840810383233,0.000478
2026,ROUM,1102000,2779327000,0.03964988646532056,0.001102
2026,SALV,20000,2779327000,0.000719598665432315,2e-05
2026,SAMO,22000,2779327000,0.0007915585319755466,2.2e-05
2026,SERB,3000,2779327000,0.00010793979981484727,3e-06
2026,SEYC,73000,2779327000,0.00262653512882795,7.3e-05
2026,SLEO,105000,2779327000,0.0037778929935196547,0.000105
2026,SLOV,1184000,2779327000,0.04260024099359305,0.001184
2026,SRIL,2000,2779327000,7.195986654323152e-05,2e-06
2026,SVAK,100000,2779327000,0.0035979933271615755,0.0001
2026,Singapore,16252000,2779327000,0.5847458755302992,0.016252
2026,South Africa,11582000,2779327000,0.41671958715185364,0.011582
2026,South Korea,94260000,2779327000,3.391468510182501,0.09426
2026,Spain,4826000,2779327000,0.17363915796881763,0.004826
2026,Sweden,50611000,2779327000,1.8209804028097452,0.050611
2026,Switzerland,2923000,2779327000,0.10516934495293286,0.002923
2026,TUNI,1000,2779327000,3.597993327161576e-05,1e-06
2026,Taiwan,101739000,2779327000,3.660562431120915,0.101739
2026,Thailand,13594000,2779327000,0.48911121289434456,0.013594
2026,Turkey,23386000,2779327000,0.8414267194900061,0.023386
2026,UAEM,4486000,2779327000,0.16140598065646827,0.004486
2026,UGAN,1000,2779327000,3.597993327161576e-05,1e-06
2026,UKRA,261000,2779327000,0.009390762583891711,0.000261
2026,United Kingdom,32955000,2779327000,1.1857187009660972,0.032955
2026,United States,56836000,2779327000,2.044955487425553,0.056836
2026,Vietnam,103889000,2779327000,3.7379192876548895,0.103889
